pincode,location_type,distance_km,terrain_type,infra_type,base_material_cost,labor_rate_factor,final_cost
380015,Urban,7.34,Medium,Aerial,4930,1,22255.45
500081,Urban,1.41,High,Underground,6616,1.4,17322.46
400001,Rural,4.04,Low,Underground,5756,1.04,17143.92
700091,Urban,7.78,High,Underground,7426,1.37,33926.92
400001,Urban,1.21,High,Underground,4928,1.21,11659.52
411001,Urban,9.37,Low,Aerial,5139,1.43,26630.73
500081,Rural,9.73,Medium,Aerial,3819,1.42,28757.23
122001,Rural,5.66,High,Aerial,7518,1.13,25248.58
500032,Rural,4.11,High,Underground,3672,1.32,19189.77
400001,Urban,1.05,Medium,Underground,7478,1.19,14216.24
411001,Urban,8.73,Low,Aerial,5457,1.47,26083.32
110016,Rural,6.88,High,Underground,7053,1.49,35088.48
380015,Urban,2.72,High,Aerial,5453,1.37,16120.1
411001,Urban,6.32,Low,Underground,6854,1.07,22854.11
600001,Urban,4.06,Low,Underground,6967,1.42,20175.59
500081,Urban,0.66,Low,Aerial,4658,1.39,7977.84
560034,Urban,5.56,Low,Underground,6869,1.45,24778.65
400001,Rural,7.06,Medium,Underground,4768,1.1,26866.33
600028,Rural,5.92,High,Aerial,4235,1.14,21105.53
122002,Rural,1.34,Low,Aerial,6365,1.05,10093.93
400076,Urban,9.41,High,Underground,6132,1.39,38990.31
600001,Rural,5.72,Medium,Underground,3779,1.25,21831.15
600028,Urban,9.56,High,Underground,4493,1.39,35829.6
110001,Rural,8.2,High,Underground,4647,1.1,30845.45
411045,Rural,9.92,High,Underground,7572,1.32,43476.42
400076,Rural,1.39,High,Aerial,4528,1.41,12130.33
122002,Rural,5.46,High,Aerial,4690,1.46,23031.12
380015,Rural,9.06,High,Aerial,4262,1.02,30317.54
500081,Urban,0.53,High,Underground,7033,1.3,14120.26
411045,Urban,1.21,Low,Aerial,6566,1.45,11578.19
122001,Urban,6.55,High,Underground,4055,1.06,23902.17
380015,Rural,8.99,Medium,Underground,5325,1.3,34235.94
600028,Urban,1.46,High,Underground,6889,1.09,14380.75
700001,Urban,4.62,Low,Underground,3046,1,14741.16
110016,Rural,9.09,High,Aerial,4359,1.14,29182.79
700091,Urban,4.73,Low,Underground,3901,1.31,15958.97
110016,Urban,6.58,High,Underground,4865,1.31,28188.48
560034,Urban,2.76,High,Aerial,6205,1.36,17268.91
700091,Urban,3.68,Low,Underground,3368,1.11,13235.52
400076,Urban,5,Low,Aerial,5737,1.08,16014.34
380001,Urban,6.58,Low,Underground,4857,1.48,22616.9
700091,Rural,0.92,High,Underground,4097,1.21,10455.06
700091,Rural,7.4,High,Underground,7201,1.11,34570.78
411001,Urban,2.8,Medium,Underground,5192,1.22,15416.02
380015,Rural,9.71,Medium,Aerial,4033,1.5,29065.58
400001,Rural,4.33,Medium,Aerial,3187,1.16,14168.17
560001,Urban,8.32,Low,Aerial,4646,1.29,23394.25
411045,Urban,1.55,Low,Aerial,4408,1.27,8520.16
700001,Rural,4.55,Medium,Underground,7899,1.06,23707.25
500081,Urban,5.13,Medium,Underground,5809,1.37,23586.63
380015,Rural,8.87,Medium,Aerial,6979,1.35,33146.38
500081,Urban,3.14,Medium,Underground,6075,1.45,19708.52
122001,Urban,4.35,Medium,Underground,4271,1.42,18010.7
400076,Urban,1,Medium,Aerial,7887,1,10544.34
400076,Rural,2.85,High,Aerial,5571,1.02,14768
500032,Urban,2.99,High,Underground,7843,1.48,24052.99
560001,Urban,4.53,High,Aerial,5965,1.23,19862.09
110001,Urban,2.6,High,Underground,3767,1.2,13133.64
380015,Urban,6.52,High,Aerial,5299,1.21,23395.78
600001,Urban,6.16,High,Aerial,4255,1.05,20909.52
400076,Rural,8.91,High,Underground,7515,1.15,40787.1
411045,Urban,7.56,Low,Underground,6525,1.49,28990.97
600028,Rural,1.43,High,Underground,6599,1.43,17715.08
600028,Rural,6.79,Low,Aerial,5468,1.06,20282.29
110001,Rural,9.96,Low,Aerial,5057,1.38,28392.36
380015,Rural,1.3,High,Aerial,6937,1.32,15777.36
380001,Rural,8.64,High,Aerial,4947,1.44,32565.25
380015,Urban,7.32,High,Aerial,5472,1.01,24243.11
600001,Urban,8.65,Low,Underground,5497,1.11,26988.97
500032,Rural,1.38,Low,Aerial,3720,1.23,8034.32
411045,Rural,1.37,High,Underground,3244,1.42,11452.11
500032,Rural,0.94,High,Aerial,6425,1.27,13626.91
560001,Rural,7.75,High,Aerial,4649,1.18,27988.07
500032,Urban,9.56,High,Underground,3048,1.41,33223.41
110016,Rural,3.87,Low,Aerial,7263,1.17,16699.87
600001,Urban,1.7,Low,Underground,5912,1.06,11622.58
560034,Rural,9.49,Medium,Underground,7330,1.41,40275.43
122001,Urban,9.81,Low,Underground,4240,1.21,29208.42
122002,Urban,6.2,Low,Underground,3497,1.4,20150.45
380015,Urban,3.83,Low,Underground,7980,1.1,19084.91
400001,Urban,8.86,High,Aerial,6297,1.39,32625.29
110016,Rural,0.61,Medium,Underground,5613,1.48,13150.5
400001,Rural,2.8,Low,Underground,6474,1.27,18003.51
400001,Rural,4.35,Medium,Underground,7835,1.44,26129.14
560001,Urban,6.42,Low,Underground,7591,1.13,25376.1
411001,Urban,9.61,High,Underground,7605,1.17,40058.59
560034,Rural,3.58,High,Aerial,7453,1.49,22968.76
411001,Urban,2.33,Medium,Aerial,7602,1.24,15436.92
500081,Rural,6.52,Low,Aerial,5277,1.42,22748.04
400076,Urban,3.03,Medium,Aerial,7982,1.46,20159.15
600028,Rural,8.41,Medium,Aerial,3032,1.25,23755.55
600001,Rural,8.84,Medium,Underground,7802,1.1,34436.79
411045,Urban,9.34,Medium,Underground,4247,1.27,29603.49
560034,Rural,7.62,High,Aerial,6488,1.46,33153.07
380001,Rural,1.15,Medium,Underground,6643,1.29,15410.17
110001,Urban,1.24,High,Underground,5738,1.32,13914.1
700091,Rural,4.09,High,Underground,7420,1.27,26016.6
380001,Rural,2.85,Medium,Underground,6706,1.41,21723.49
560001,Rural,3.58,Medium,Aerial,3455,1.35,13687.65
400076,Urban,1.9,Low,Underground,7933,1.12,13944.4
560034,Rural,1.66,Medium,Underground,7893,1.02,15506.97
700001,Rural,6.05,Low,Underground,4041,1.33,22587.89
380015,Rural,5.09,Medium,Aerial,6211,1.11,20035.93
560034,Rural,2.6,High,Underground,3685,1.25,14112.12
700091,Rural,0.77,Low,Aerial,7175,1.49,13370.99
500081,Rural,4.44,High,Aerial,3956,1.29,17662.95
700001,Urban,2.81,High,Underground,3502,1.03,12337.09
380001,Urban,4.85,Medium,Underground,4528,1.07,18206.39
600028,Urban,1.59,Medium,Aerial,3821,1.09,8037.1
700001,Urban,5.15,Low,Aerial,7434,1.41,20090.36
380015,Rural,7.85,Medium,Aerial,5771,1.4,28167.69
122001,Rural,2.77,Medium,Aerial,7235,1.09,16239.82
122002,Urban,0.67,Low,Aerial,4197,1.19,6276.87
400001,Urban,8.16,Medium,Underground,6274,1.42,33442.82
122002,Rural,8.05,High,Underground,5830,1.05,33754.88
400001,Rural,5.24,Low,Aerial,3327,1.34,16916.98
380001,Rural,9.78,Low,Aerial,7708,1.2,30050.87
122002,Urban,2.48,Medium,Underground,6654,1.09,16084.28
600028,Rural,1.68,High,Underground,6030,1.4,17214.75
560034,Urban,9.68,Low,Aerial,4384,1.24,25119.68
411045,Rural,6.71,Low,Underground,4308,1.45,24758.19
411001,Urban,9.78,Medium,Aerial,6109,1.49,31547.63
400001,Rural,2.07,High,Aerial,7103,1.11,15983.02
110016,Rural,9.16,Medium,Underground,7746,1.4,39371.94
411001,Urban,8.16,Low,Aerial,7030,1.01,24154.78
400001,Rural,7.21,High,Underground,3454,1.42,30077.83
400001,Urban,2.63,High,Underground,6604,1.43,19622.56
110016,Rural,4.51,Medium,Aerial,3092,1.08,14888.87
380001,Rural,3.54,Medium,Aerial,7751,1.35,21220.25
380015,Urban,9.47,Medium,Aerial,7410,1.15,30544.04
411001,Urban,8.31,Low,Underground,4904,1.06,24559.75
